student_id,quarter,time_on_materials_min,logins,forum_posts
64759,Q1,186,7,2
64759,Q2,237,9,1
64759,Q3,84,4,1
22456,Q1,243,11,2
22456,Q2,169,7,3
22456,Q3,139,4,0
63401,Q1,73,2,0
63401,Q2,96,3,0
63401,Q3,139,5,2
72903,Q1,205,8,2
72903,Q2,215,8,3
72903,Q3,215,7,2
76338,Q1,219,13,3
76338,Q2,146,9,1
76338,Q3,246,9,3
11966,Q1,103,4,1
11966,Q2,94,3,3
11966,Q3,100,5,1
70433,Q1,68,3,0
70433,Q2,245,11,0
70433,Q3,106,4,2
18341,Q1,125,5,1
18341,Q2,122,4,3
18341,Q3,110,6,1
50681,Q1,242,11,2
50681,Q2,64,3,1
50681,Q3,132,4,0
16606,Q1,184,10,1
16606,Q2,148,5,1
16606,Q3,142,9,2
33822,Q1,95,3,2
33822,Q2,85,3,1
33822,Q3,216,13,0
54743,Q1,105,3,2
54743,Q2,73,4,1
54743,Q3,77,2,1
84337,Q1,160,5,2
84337,Q2,169,6,1
84337,Q3,152,5,2
82564,Q1,138,7,0
82564,Q2,84,4,1
82564,Q3,224,8,0
71567,Q1,167,6,4
71567,Q2,91,3,1
71567,Q3,64,3,0
97173,Q1,182,6,1
97173,Q2,121,4,1
97173,Q3,115,6,0
39660,Q1,168,6,0
39660,Q2,162,7,3
39660,Q3,196,7,3
30475,Q1,201,6,2
30475,Q2,168,7,0
30475,Q3,209,9,2
57942,Q1,73,2,1
57942,Q2,127,4,2
57942,Q3,214,9,6
96434,Q1,176,9,1
96434,Q2,97,4,1
96434,Q3,126,7,1
92391,Q1,223,11,1
92391,Q2,90,5,0
92391,Q3,87,4,0
28093,Q1,170,5,2
28093,Q2,202,13,2
28093,Q3,101,5,1
44534,Q1,143,6,0
44534,Q2,153,5,2
44534,Q3,210,9,2
34954,Q1,98,5,1
34954,Q2,212,9,3
34954,Q3,239,13,2
20365,Q1,228,13,2
20365,Q2,165,9,0
20365,Q3,101,3,1
50549,Q1,71,3,1
50549,Q2,174,6,0
50549,Q3,98,3,1
21746,Q1,104,4,0
21746,Q2,241,16,1
21746,Q3,86,3,2
84184,Q1,212,8,0
84184,Q2,236,14,3
84184,Q3,242,8,2
36135,Q1,69,3,0
36135,Q2,196,10,2
36135,Q3,213,10,1
71093,Q1,185,9,1
71093,Q2,123,6,3
71093,Q3,193,6,2
82480,Q1,200,7,3
82480,Q2,170,8,3
82480,Q3,73,2,0
24664,Q1,222,9,1
24664,Q2,162,9,0
24664,Q3,202,10,1
23943,Q1,56,3,0
23943,Q2,230,8,5
23943,Q3,116,6,2
15711,Q1,242,9,1
15711,Q2,103,4,2
15711,Q3,182,9,4
92139,Q1,195,8,0
92139,Q2,59,2,0
92139,Q3,183,7,3
37753,Q1,207,8,1
37753,Q2,93,3,0
37753,Q3,90,5,1
14199,Q1,186,9,2
14199,Q2,111,6,0
14199,Q3,230,7,2
66910,Q1,168,7,1
66910,Q2,57,3,0
66910,Q3,96,4,3
48001,Q1,51,2,1
48001,Q2,127,5,3
48001,Q3,136,8,1
33561,Q1,156,9,1
33561,Q2,200,7,2
33561,Q3,162,6,3
34724,Q1,56,2,1
34724,Q2,153,6,1
34724,Q3,78,5,1
39261,Q1,129,5,1
39261,Q2,209,7,3
39261,Q3,113,5,0
19146,Q1,131,5,2
19146,Q2,180,6,3
19146,Q3,137,8,1
99082,Q1,83,5,0
99082,Q2,125,5,1
99082,Q3,113,4,1
36217,Q1,173,10,5
36217,Q2,150,6,1
36217,Q3,224,14,6
36969,Q1,98,3,3
36969,Q2,208,7,0
36969,Q3,148,5,2
50858,Q1,130,7,0
50858,Q2,122,5,1
50858,Q3,130,5,2
43480,Q1,101,4,2
43480,Q2,141,5,0
43480,Q3,222,8,1
34199,Q1,234,14,3
34199,Q2,83,3,0
34199,Q3,58,2,1
82953,Q1,190,10,2
82953,Q2,121,5,1
82953,Q3,206,12,4
24943,Q1,83,5,0
24943,Q2,123,5,1
24943,Q3,124,6,0
38112,Q1,175,8,2
38112,Q2,83,4,0
38112,Q3,115,6,0
57667,Q1,109,4,0
57667,Q2,130,5,3
57667,Q3,217,8,2
70754,Q1,154,5,3
70754,Q2,133,7,2
70754,Q3,113,7,3
71933,Q1,209,10,2
71933,Q2,130,6,2
71933,Q3,99,4,3
14645,Q1,95,5,0
14645,Q2,147,7,2
14645,Q3,118,6,2
21436,Q1,210,10,0
21436,Q2,216,10,2
21436,Q3,61,3,1
21863,Q1,116,7,1
21863,Q2,63,2,0
21863,Q3,120,5,1
85421,Q1,232,12,5
85421,Q2,209,12,0
85421,Q3,199,6,0
82950,Q1,74,2,0
82950,Q2,244,15,2
82950,Q3,95,5,1
55882,Q1,221,14,2
55882,Q2,121,8,2
55882,Q3,193,12,4
96473,Q1,226,14,4
96473,Q2,146,7,2
96473,Q3,175,9,2
59196,Q1,172,6,0
59196,Q2,89,5,1
59196,Q3,100,4,1
44516,Q1,213,9,1
44516,Q2,144,7,4
44516,Q3,138,5,1
31608,Q1,108,4,0
31608,Q2,177,7,1
31608,Q3,111,4,0
94681,Q1,124,4,1
94681,Q2,151,9,2
94681,Q3,216,8,2
81962,Q1,135,6,2
81962,Q2,246,10,2
81962,Q3,118,7,1
47557,Q1,230,10,2
47557,Q2,105,5,2
47557,Q3,78,2,0
48317,Q1,104,4,2
48317,Q2,147,5,3
48317,Q3,119,4,1
74520,Q1,216,7,5
74520,Q2,120,4,0
74520,Q3,233,8,2
95590,Q1,146,9,3
95590,Q2,128,6,3
95590,Q3,208,10,3
31396,Q1,112,6,1
31396,Q2,74,3,0
31396,Q3,57,3,2
84154,Q1,216,9,0
84154,Q2,87,4,0
84154,Q3,118,4,1
69362,Q1,52,2,1
69362,Q2,118,6,2
69362,Q3,71,2,0
98559,Q1,109,3,1
98559,Q2,245,9,7
98559,Q3,230,12,2
78101,Q1,223,13,4
78101,Q2,211,10,2
78101,Q3,100,3,1
71227,Q1,84,4,1
71227,Q2,215,11,1
71227,Q3,223,8,4
46442,Q1,167,6,3
46442,Q2,75,5,0
46442,Q3,154,7,1
14891,Q1,104,4,0
14891,Q2,99,4,0
14891,Q3,212,8,5
69373,Q1,54,3,0
69373,Q2,219,12,1
69373,Q3,239,10,3
21550,Q1,85,3,0
21550,Q2,72,2,1
21550,Q3,216,12,1
84436,Q1,89,3,2
84436,Q2,235,11,4
84436,Q3,95,4,3
72610,Q1,161,8,1
72610,Q2,100,3,1
72610,Q3,66,3,0
85845,Q1,167,9,3
85845,Q2,207,7,1
85845,Q3,190,7,1
42289,Q1,88,4,0
