student_id,major,age,gender,prior_gpa,credits_failed_pct,financial_aid,tuition_status,graduated,logins_q1,logins_q2,logins_q3,time_on_materials_min_q1,time_on_materials_min_q2,time_on_materials_min_q3,forum_posts_q1,forum_posts_q2,forum_posts_q3,login_velocity,time_velocity,total_logins,total_time,total_forum_posts,is_ghost,early_engagement_academic_friction,total_login_academic_friction,total_time_academic_friction
64759,Computer Science,31.0,Female,2.41,0.1820849720951146,Private Scholarship,Paid,1,7.0,9.0,4.0,186.0,237.0,84.0,2.0,1.0,1.0,-3.0,-102.0,20.0,507.0,4.0,0,0.022760621511889324,0.008670712956910218,0.00035843498443920195
22456,Computer Science,24.0,Female,2.46,0.5468552057585903,Federal Grant,Paid,0,11.0,7.0,4.0,243.0,169.0,139.0,2.0,3.0,0.0,-7.0,-104.0,22.0,551.0,5.0,0,0.04557126714654919,0.02377631329385175,0.0009906797205771563
63401,Computer Science,21.0,Male,3.62,0.0209663836494581,No Aid,Paid,1,2.0,3.0,5.0,73.0,96.0,139.0,0.0,0.0,2.0,3.0,66.0,10.0,308.0,2.0,0,0.006988794549819367,0.0019060348772234636,6.785237427009094e-05
72903,Computer Science,19.0,Female,3.22,0.0716681339940439,Private Scholarship,Paid,1,8.0,8.0,7.0,205.0,215.0,215.0,2.0,3.0,2.0,-1.0,10.0,23.0,635.0,7.0,0,0.00796312599933821,0.002986172249751829,0.00011268574527365393
76338,Arts,22.0,Male,2.14,0.1771436426868974,No Aid,Deferred,1,13.0,9.0,9.0,219.0,146.0,246.0,3.0,1.0,3.0,-4.0,27.0,31.0,611.0,7.0,0,0.012653117334778386,0.0055357388339655434,0.000289450396547218
11966,Arts,25.0,Male,3.38,0.0412018854835261,Student Loan,Paid,1,4.0,3.0,5.0,103.0,94.0,100.0,1.0,3.0,1.0,1.0,-3.0,12.0,297.0,5.0,0,0.00824037709670522,0.0031693758064250846,0.0001382613606829735
70433,Mathematics,23.0,Female,3.04,0.1562416929457314,Federal Grant,Paid,1,3.0,11.0,4.0,68.0,245.0,106.0,0.0,0.0,2.0,1.0,38.0,18.0,419.0,2.0,0,0.03906042323643285,0.008223246997143758,0.00037200403082316997
18341,Computer Science,21.0,Male,3.16,0.0065218297784984,Private Scholarship,Paid,1,5.0,4.0,6.0,125.0,122.0,110.0,1.0,3.0,1.0,1.0,-15.0,15.0,357.0,5.0,0,0.0010869716297497334,0.00040761436115615,1.821740161591732e-05
50681,Mathematics,21.0,Female,2.6,0.3069375163259538,Student Loan,Paid,1,11.0,3.0,4.0,242.0,64.0,132.0,2.0,1.0,0.0,-7.0,-110.0,18.0,438.0,3.0,0,0.02557812636049615,0.01615460612241862,0.0006991742968700541
16606,Business,21.0,Male,2.04,0.3408417816246692,Federal Grant,Delinquent,1,10.0,5.0,9.0,184.0,148.0,142.0,1.0,1.0,2.0,-1.0,-42.0,24.0,474.0,4.0,0,0.030985616511333566,0.013633671264986769,0.0007175616455256194
