student_id,major,age,gender,prior_gpa,credits_failed_pct,financial_aid,tuition_status,graduated
64759,Computer Science,31,Female,2.41,0.1820849720951146,Private Scholarship,Paid,1
22456,CompSci,24,Female,2.46,0.5468552057585903,Federal Grant,Paid,0
63401,CompSci,21,Male,3.62,0.0209663836494581,No Aid,Paid,1
72903,Computer Science,19,Female,3.22,0.0716681339940439,Private Scholarship,Paid,1
76338,Arts,22,Male,2.14,0.1771436426868974,No Aid,Deferred,1
11966,Arts,25,Male,3.38,0.0412018854835261,Student Loan,Paid,1
70433,Mathematics,23,Female,3.04,0.1562416929457314,Federal Grant,Paid,1
18341,Computer Science,21,Male,3.16,0.0065218297784984,Private Scholarship,Paid,1
50681,Mathematics,21,Female,2.6,0.3069375163259538,Student Loan,Paid,1
16606,Business,21,Male,2.04,0.3408417816246692,Federal Grant,Delinquent,1
33822,Business,17,Male,3.02,0.198629613073535,Federal Grant,Paid,1
54743,Computer Science,25,Female,3.19,0.2691397520797781,Student Loan,Paid,1
84337,Mathematics,28,Non-binary,3.29,0.4304202693243987,Federal Grant,Paid,1
82564,CompSci,39,Female,2.88,0.2815972107823818,,Paid,1
71567,Computer Science,21,Female,3.12,0.2051254002711166,Private Scholarship,Paid,1
97173,Computer Science,34,Male,3.09,0.497925760183122,,Paid,0
39660,Mathematics,18,Male,2.74,0.1599464322459789,Private Scholarship,Paid,1
30475,Business,22,Female,3.62,0.0289342646259062,No Aid,Deferred,1
57942,Arts,23,Male,2.87,0.0572120117951264,Private Scholarship,Paid,1
96434,CompSci,23,Male,2.47,0.009743872988828,No Aid,Delinquent,1
92391,Mathematics,21,Female,2.02,0.3629851327199607,Private Scholarship,Paid,1
28093,Mathematics,28,Male,2.57,0.1335851055854446,Private Scholarship,Paid,1
44534,CompSci,41,Prefer not to say,2.21,0.1887710944247934,Private Scholarship,Delinquent,1
34954,Arts,22,Prefer not to say,3.0,0.1690071105365289,Private Scholarship,Paid,1
20365,Arts,19,Female,2.76,0.0489661829769085,No Aid,Paid,1
50549,Computer Science,21,Male,2.5,0.2334196902378227,Private Scholarship,Deferred,1
21746,Computer Science,21,Male,2.26,0.2425566946305575,Student Loan,Paid,1
84184,CS,19,Female,3.61,0.233283498177814,Private Scholarship,Paid,1
36135,CompSci,24,Male,3.97,0.6351427215037564,Private Scholarship,Paid,0
71093,Mathematics,20,Female,3.72,0.0549682122288867,Federal Grant,Paid,1
82480,CS,21,Male,3.57,0.1655941266943212,Private Scholarship,Delinquent,1
24664,CS,24,Male,3.06,0.0906550156156724,Federal Grant,Deferred,1
23943,CS,21,Female,3.67,0.075651719021209,Student Loan,Deferred,1
15711,Computer Science,24,Male,3.07,0.2312066439301764,Federal Grant,Paid,1
92139,Business,20,Female,2.64,0.1030325979744608,Private Scholarship,Paid,1
37753,CS,18,Female,2.45,0.225399199877439,Private Scholarship,Paid,1
14199,Mathematics,22,Male,2.43,0.0074265141384364,Student Loan,Delinquent,1
66910,Arts,24,Male,2.91,0.2161265324912026,Private Scholarship,Paid,1
48001,Computer Science,22,Male,3.28,0.3949082404426122,No Aid,Deferred,0
33561,Arts,22,Female,2.3,0.1768482760041459,No Aid,Paid,1
34724,Business,22,Female,2.02,0.2074709287200998,Federal Grant,Paid,1
39261,Business,32,Female,2.05,0.1240036750264434,Federal Grant,Paid,1
19146,CS,17,Male,2.62,0.0250295234888555,No Aid,Deferred,1
99082,CS,22,Female,3.44,0.1911051404298135,Private Scholarship,Paid,1
36217,Computer Science,21,Female,2.01,0.0983727720390365,No Aid,Deferred,1
36969,CS,25,Male,2.93,0.0030532428688686,Federal Grant,Paid,1
